Group Number,Arabic Group Name,English Group Name,Operator,Purpose/Usage,Example,Note,Example_Vocalized,is_operator
1,الجر فقط الدلالية,Prepositions Only (Semantic),بِ,للدلالة على المرور أو القرب,مررت بزيد,الباء: حرف جر، زيد: اسم مجرور,مَرَرْتُ بِزَيْدٍ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),مِنْ,للدلالة على ابتداء الغاية الزمنية,سرت من البيت,من: حرف جر، البيت: اسم مجرور,سِرْتُ مِنَ الْبَيْتِ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),إِلَى,للدلالة على انتهاء الغاية الزمنية,سرت إلى البيت,إلى: حرف جر، البيت: اسم مجرور,سِرْتُ إِلَى الْبَيْتِ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),فِي,للدلالة على الظرفية,الماء في الكوز,في: حرف جر، الكوز: اسم مجرور,الْمَاءُ فِي الْكُوزِ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),عَنْ,للدلالة على المجاوزة,رميت السهم عن القوس,عن: حرف جر، القوس: اسم مجرور,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),وَ,للدلالة على القسم,والله لأشربن,واو: حرف قسم، الله: اسم مجرور,وَاللَّهِ لَأَشْرَبَنَّ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),بِ,للدلالة على القسم,بالله لأفعلن,باء: حرف قسم، الله: اسم مجرور,بِاللَّهِ لَأَفْعَلَنَّ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),تَ,للدلالة على القسم,تالله لأضربن زيدا,تاء: حرف قسم، الله: اسم مجرور,تَاللَّهِ لَأَضْرِبَنَّ زَيْدًا,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),لِ,للدلالة على الملكية,المال لزيد,اللام: حرف جر، زيد: اسم مجرور,الْمَالُ لِزَيْدٍ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),رُبَّ,للدلالة على التقليل,رب رجل كريم لقيته,رب: حرف جر، رجل: اسم مجرور لفظًا,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),وَ,للدلالة على التقليل,وليل كموج البحر,واو رب: حرف جر، ليل: اسم مجرور لفظًا,وَلَيْلٍ كَمَوْجِ الْبَحْرِ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),عَلَى,للدلالة على الاستعلاء,الكتاب على المكتب,على: حرف جر، المكتب: اسم مجرور,الْكِتَابُ عَلَى الْمَكْتَبِ,True
