Sura_No,Verse_No,Word_No,Word,Normalized_Word,Verdict,Syllable_Pattern,Consonant_Count,Madd_Status,Layn_Status,Reconstruction_Verified,Boundaries,Block_Reason,Trace_Anchor,Parent_Anchor
2,282,1,يَا,يَاْ,ACCEPT,CVV,1,PROVEN,,YES,0|4,,aslot/axis3/2:282:1,aslot/axis2/2:282:1
2,282,2,أَيُّهَا,أَيْيُهَاْ,ACCEPT,CVC·CV·CVV,4,PROVEN,PROVEN,YES,0|4|6|10,,aslot/axis3/2:282:2,aslot/axis2/2:282:2
2,282,3,الَّذِينَ,ءَلْلَذِيْنَ,ACCEPT,CVC·CV·CVV·CV,5,PROVEN,,YES,0|4|6|10|12,,aslot/axis3/2:282:3,aslot/axis2/2:282:3
2,282,4,آمَنُوا,ءَاْمَنُوْ,ACCEPT,CVV·CV·CVV,3,PROVEN,,YES,0|4|6|10,,aslot/axis3/2:282:4,aslot/axis2/2:282:4
2,282,5,إِذَا,إِذَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:5,aslot/axis2/2:282:5
2,282,6,تَدَايَنْتُمْ,تَدَاْيَنْتُمْ,ACCEPT,CV·CVV·CVC·CVC,6,PROVEN,,YES,0|2|6|10|14,,aslot/axis3/2:282:6,aslot/axis2/2:282:6
2,282,7,بِدَيْنٍ,بِدَيْنِنْ,ACCEPT,CV·CVC·CVC,5,,PROVEN,YES,0|2|6|10,,aslot/axis3/2:282:7,aslot/axis2/2:282:7
2,282,8,إِلَى,إِلَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:8,aslot/axis2/2:282:8
2,282,9,أَجَلٍ,أَجَلِنْ,ACCEPT,CV·CV·CVC,4,,,YES,0|2|4|8,,aslot/axis3/2:282:9,aslot/axis2/2:282:9
2,282,10,مُسَمًّى,مُسَمْمَنْاْ,ACCEPT,CV·CVC·CVCC,6,,,YES,0|2|6|12,,aslot/axis3/2:282:10,aslot/axis2/2:282:10
2,282,11,فَاكْتُبُوهُ,فَاْكْتُبُوْهُ,ACCEPT,CVVC·CV·CVV·CV,5,PROVEN,,YES,0|6|8|12|14,,aslot/axis3/2:282:11,aslot/axis2/2:282:11
2,282,12,وَلْيَكْتُبْ,وَلْيَكْتُبْ,ACCEPT,CVC·CVC·CVC,6,,,YES,0|4|8|12,,aslot/axis3/2:282:12,aslot/axis2/2:282:12
2,282,13,بَيْنَكُمْ,بَيْنَكُمْ,ACCEPT,CVC·CV·CVC,5,,PROVEN,YES,0|4|6|10,,aslot/axis3/2:282:13,aslot/axis2/2:282:13
2,282,14,كَاتِبٌ,كَاْتِبُنْ,ACCEPT,CVV·CV·CVC,4,PROVEN,,YES,0|4|6|10,,aslot/axis3/2:282:14,aslot/axis2/2:282:14
2,282,15,بِالْعَدْلِ,بِلْعَدْلِ,ACCEPT,CVC·CVC·CV,5,,,YES,0|4|8|10,,aslot/axis3/2:282:15,aslot/axis2/2:282:15
2,282,16,وَلَا,وَلَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:16,aslot/axis2/2:282:16
2,282,17,يَأْبَ,يَأْبَ,ACCEPT,CVC·CV,3,,,YES,0|4|6,,aslot/axis3/2:282:17,aslot/axis2/2:282:17
2,282,18,كَاتِبٌ,كَاْتِبُنْ,ACCEPT,CVV·CV·CVC,4,PROVEN,,YES,0|4|6|10,,aslot/axis3/2:282:18,aslot/axis2/2:282:18
2,282,19,أَنْ,أَنْ,ACCEPT,CVC,2,,,YES,0|4,,aslot/axis3/2:282:19,aslot/axis2/2:282:19
2,282,20,يَكْتُبَ,يَكْتُبَ,ACCEPT,CVC·CV·CV,4,,,YES,0|4|6|8,,aslot/axis3/2:282:20,aslot/axis2/2:282:20
2,282,21,كَمَا,كَمَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:21,aslot/axis2/2:282:21
2,282,22,عَلَّمَهُ,عَلْلَمَهُ,ACCEPT,CVC·CV·CV·CV,5,,,YES,0|4|6|8|10,,aslot/axis3/2:282:22,aslot/axis2/2:282:22
2,282,24,فَلْيَكْتُبْ,فَلْيَكْتُبْ,ACCEPT,CVC·CVC·CVC,6,,,YES,0|4|8|12,,aslot/axis3/2:282:24,aslot/axis2/2:282:24
2,282,25,وَلْيُمْلِلِ,وَلْيُمْلِلِ,ACCEPT,CVC·CVC·CV·CV,6,,,YES,0|4|8|10|12,,aslot/axis3/2:282:25,aslot/axis2/2:282:25
2,282,26,الَّذِي,ءَلْلَذِيْ,ACCEPT,CVC·CV·CVV,4,PROVEN,,YES,0|4|6|10,,aslot/axis3/2:282:26,aslot/axis2/2:282:26
2,282,27,عَلَيْهِ,عَلَيْهِ,ACCEPT,CV·CVC·CV,4,,PROVEN,YES,0|2|6|8,,aslot/axis3/2:282:27,aslot/axis2/2:282:27
2,282,28,الْحَقُّ,ءَلْحَقْقُ,ACCEPT,CVC·CVC·CV,5,,,YES,0|4|8|10,,aslot/axis3/2:282:28,aslot/axis2/2:282:28
2,282,29,وَلْيَتَّقِ,وَلْيَتْتَقِ,ACCEPT,CVC·CVC·CV·CV,6,,,YES,0|4|8|10|12,,aslot/axis3/2:282:29,aslot/axis2/2:282:29
2,282,31,رَبَّهُ,رَبْبَهُ,ACCEPT,CVC·CV·CV,4,,,YES,0|4|6|8,,aslot/axis3/2:282:31,aslot/axis2/2:282:31
2,282,32,وَلَا,وَلَاْ,ACCEPT,CV·CVV,2,PROVEN,,YES,0|2|6,,aslot/axis3/2:282:32,aslot/axis2/2:282:32
2,282,33,يَبْخَسْ,يَبْخَسْ,ACCEPT,CVC·CVC,4,,,YES,0|4|8,,aslot/axis3/2:282:33,aslot/axis2/2:282:33
2,282,34,مِنْهُ,مِنْهُ,ACCEPT,CVC·CV,3,,,YES,0|4|6,,aslot/axis3/2:282:34,aslot/axis2/2:282:34
2,282,35,شَيْئًا,شَيْئَنْاْ,ACCEPT,CVC·CVCC,5,,PROVEN,YES,0|4|10,,aslot/axis3/2:282:35,aslot/axis2/2:282:35
2,282,36,فَإِنْ,فَإِنْ,ACCEPT,CV·CVC,3,,,YES,0|2|6,,aslot/axis3/2:282:36,aslot/axis2/2:282:36
2,282,37,كَانَ,كَاْنَ,ACCEPT,CVV·CV,2,PROVEN,,YES,0|4|6,,aslot/axis3/2:282:37,aslot/axis2/2:282:37
2,282,38,الَّذِي,ءَلْلَذِيْ,ACCEPT,CVC·CV·CVV,4,PROVEN,,YES,0|4|6|10,,aslot/axis3/2:282:38,aslot/axis2/2:282:38
2,282,39,عَلَيْهِ,عَلَيْهِ,ACCEPT,CV·CVC·CV,4,,PROVEN,YES,0|2|6|8,,aslot/axis3/2:282:39,aslot/axis2/2:282:39
2,282,40,الْحَقُّ,ءَلْحَقْقُ,ACCEPT,CVC·CVC·CV,5,,,YES,0|4|8|10,,aslot/axis3/2:282:40,aslot/axis2/2:282:40
2,282,41,سَفِيهًا,سَفِيْهَنْاْ,ACCEPT,CV·CVV·CVCC,5,PROVEN,,YES,0|2|6|12,,aslot/axis3/2:282:41,aslot/axis2/2:282:41
2,282,42,أَوْ,أَوْ,ACCEPT,CVC,2,,PROVEN,YES,0|4,,aslot/axis3/2:282:42,aslot/axis2/2:282:42
2,282,43,ضَعِيفًا,ضَعِيْفَنْاْ,ACCEPT,CV·CVV·CVCC,5,PROVEN,,YES,0|2|6|12,,aslot/axis3/2:282:43,aslot/axis2/2:282:43
2,282,44,أَوْ,أَوْ,ACCEPT,CVC,2,,PROVEN,YES,0|4,,aslot/axis3/2:282:44,aslot/axis2/2:282:44
2,282,45,لَا,لَاْ,ACCEPT,CVV,1,PROVEN,,YES,0|4,,aslot/axis3/2:282:45,aslot/axis2/2:282:45
2,282,46,يَسْتَطِيعُ,يَسْتَطِيْعُ,ACCEPT,CVC·CV·CVV·CV,5,PROVEN,,YES,0|4|6|10|12,,aslot/axis3/2:282:46,aslot/axis2/2:282:46
2,282,47,أَنْ,أَنْ,ACCEPT,CVC,2,,,YES,0|4,,aslot/axis3/2:282:47,aslot/axis2/2:282:47
2,282,48,يُمِلَّ,يُمِلْلَ,ACCEPT,CV·CVC·CV,4,,,YES,0|2|6|8,,aslot/axis3/2:282:48,aslot/axis2/2:282:48
2,282,49,هُوَ,هُوَ,ACCEPT,CV·CV,2,,,YES,0|2|4,,aslot/axis3/2:282:49,aslot/axis2/2:282:49
2,282,50,فَلْيُمْلِلْ,فَلْيُمْلِلْ,ACCEPT,CVC·CVC·CVC,6,,,YES,0|4|8|12,,aslot/axis3/2:282:50,aslot/axis2/2:282:50
2,282,51,وَلِيُّهُ,وَلِيْيُهُ,ACCEPT,CV·CVV·CV·CV,4,PROVEN,,YES,0|2|6|8|10,,aslot/axis3/2:282:51,aslot/axis2/2:282:51
2,282,52,بِالْعَدْلِ,بِلْعَدْلِ,ACCEPT,CVC·CVC·CV,5,,,YES,0|4|8|10,,aslot/axis3/2:282:52,aslot/axis2/2:282:52
2,282,53,وَاسْتَشْهِدُوا,وَاْسْتَشْهِدُوْ,ACCEPT,CVVC·CVC·CV·CVV,6,PROVEN,,YES,0|6|10|12|16,,aslot/axis3/2:282:53,aslot/axis2/2:282:53
2,282,54,شَهِيدَيْنِ,شَهِيْدَيْنِ,ACCEPT,CV·CVV·CVC·CV,5,PROVEN,PROVEN,YES,0|2|6|10|12,,aslot/axis3/2:282:54,aslot/axis2/2:282:54
2,282,55,مِنْ,مِنْ,ACCEPT,CVC,2,,,YES,0|4,,aslot/axis3/2:282:55,aslot/axis2/2:282:55
2,282,56,رِجَالِكُمْ,رِجَاْلِكُمْ,ACCEPT,CV·CVV·CV·CVC,5,PROVEN,,YES,0|2|6|8|12,,aslot/axis3/2:282:56,aslot/axis2/2:282:56
2,282,57,فَإِنْ,فَإِنْ,ACCEPT,CV·CVC,3,,,YES,0|2|6,,aslot/axis3/2:282:57,aslot/axis2/2:282:57
2,282,58,لَمْ,لَمْ,ACCEPT,CVC,2,,,YES,0|4,,aslot/axis3/2:282:58,aslot/axis2/2:282:58
2,282,59,يَكُونَا,يَكُوْنَاْ,ACCEPT,CV·CVV·CVV,3,PROVEN,,YES,0|2|6|10,,aslot/axis3/2:282:59,aslot/axis2/2:282:59
2,282,60,رَجُلَيْنِ,رَجُلَيْنِ,ACCEPT,CV·CV·CVC·CV,5,,PROVEN,YES,0|2|4|8|10,,aslot/axis3/2:282:60,aslot/axis2/2:282:60
2,282,61,فَرَجُلٌ,فَرَجُلُنْ,ACCEPT,CV·CV·CV·CVC,5,,,YES,0|2|4|6|10,,aslot/axis3/2:282:61,aslot/axis2/2:282:61
