Sura_No,Verse_No,Word_No,Word,Normalized_Word,Verdict,Termination,Peel_Count,Peeled_Prefixes,Licenses,Stem_Surface,Stem_Pattern,Stem_Consonants,Closed_Form_Proof,Deferred_Candidate_Prefix,Root_Work,Root_Proven,Stem_Proof,Note,Trace_Anchor,Parent_Anchor
2,282,1,يَا,يَاْ,ACCEPT,CLOSED_REMAINDER,0,,,,,0,PROVEN,,NONE,NO,NOT_CLAIMED,صورةٌ مغلقة مبرهنة — كلمةٌ تامّة لا جذع,aslot/axis4/2:282:1,aslot/axis3/2:282:1
2,282,2,أَيُّهَا,أَيْيُهَاْ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,أَيْيُهَاْ,CVC·CV·CVV,4,NOT_MATCHED,أَ,NONE,NO,NOT_CLAIMED,مرشّحٌ مؤجَّل: أَ — INTERROGATIVE_HAMZA_PREFIX = DEFER,aslot/axis4/2:282:2,aslot/axis3/2:282:2
2,282,3,الَّذِينَ,ءَلْلَذِيْنَ,ACCEPT,CLOSED_REMAINDER,0,,,,,0,PROVEN,,NONE,NO,NOT_CLAIMED,صورةٌ مغلقة مبرهنة — كلمةٌ تامّة لا جذع,aslot/axis4/2:282:3,aslot/axis3/2:282:3
2,282,4,آمَنُوا,ءَاْمَنُوْ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,ءَاْمَنُوْ,CVV·CV·CVV,3,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/2:282:4,aslot/axis3/2:282:4
2,282,5,إِذَا,إِذَاْ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,إِذَاْ,CV·CVV,2,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/2:282:5,aslot/axis3/2:282:5
2,282,6,تَدَايَنْتُمْ,تَدَاْيَنْتُمْ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,تَدَاْيَنْتُمْ,CV·CVV·CVC·CVC,6,NOT_MATCHED,تَ,NONE,NO,NOT_CLAIMED,مرشّحٌ مؤجَّل: تَ — سابقةُ مضارعٍ/سين: مرشّحٌ لا ترخيص,aslot/axis4/2:282:6,aslot/axis3/2:282:6
2,282,7,بِدَيْنٍ,بِدَيْنِنْ,DEFER,DEFER_REMAINDER_STANDING_UNPROVEN,0,,,,,0,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,قيامُ البقيّة «دَيْنِنْ» بنفسها غيرُ معلوم: لا شاهدَ مستقلّ، والجردُ مشتقٌّ فلا يُسأل عن الإغلاق. والسابقة بِ جائزةٌ لا واقعة — والقبولُ دعوى كالمنع سواء.,aslot/axis4/2:282:7,aslot/axis3/2:282:7
2,282,8,إِلَى,إِلَاْ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,إِلَاْ,CV·CVV,2,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/2:282:8,aslot/axis3/2:282:8
2,282,9,أَجَلٍ,أَجَلِنْ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,أَجَلِنْ,CV·CV·CVC,4,NOT_MATCHED,أَ,NONE,NO,NOT_CLAIMED,مرشّحٌ مؤجَّل: أَ — INTERROGATIVE_HAMZA_PREFIX = DEFER,aslot/axis4/2:282:9,aslot/axis3/2:282:9
2,282,10,مُسَمًّى,مُسَمْمَنْاْ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,مُسَمْمَنْاْ,CV·CVC·CVCC,6,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/2:282:10,aslot/axis3/2:282:10
2,282,11,فَاكْتُبُوهُ,فَاْكْتُبُوْهُ,BLOCK,BLOCK_SYLLABLE_BOUNDARY_CROSSED,0,,,,,0,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,القطع عند 2 يعبر حدًّا مقطعيًّا (CVVC·CV·CVV·CV),aslot/axis4/2:282:11,aslot/axis3/2:282:11
2,282,12,وَلْيَكْتُبْ,وَلْيَكْتُبْ,BLOCK,BLOCK_SYLLABLE_BOUNDARY_CROSSED,0,,,,,0,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,القطع عند 2 يعبر حدًّا مقطعيًّا (CVC·CVC·CVC),aslot/axis4/2:282:12,aslot/axis3/2:282:12
2,282,13,بَيْنَكُمْ,بَيْنَكُمْ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,بَيْنَكُمْ,CVC·CV·CVC,5,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/2:282:13,aslot/axis3/2:282:13
2,282,14,كَاتِبٌ,كَاْتِبُنْ,BLOCK,BLOCK_SYLLABLE_BOUNDARY_CROSSED,0,,,,,0,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,القطع عند 2 يعبر حدًّا مقطعيًّا (CVV·CV·CVC),aslot/axis4/2:282:14,aslot/axis3/2:282:14
