Sura_No,Verse_No,Word_No,Word,Segment_Count,Segment_Numbers,Surface_Conflict,Segment_Numbering_Gap,Cut_Separators,Trace_Anchor,Parent_Anchor
0,1,1,كَانَ,1,1,NO,NO,,aslot/axis0/0:1:1,aslot/axis0/0:1:1
0,1,2,لِأَحَدِ,1,1,NO,NO,,aslot/axis0/0:1:2,aslot/axis0/0:1:2
0,1,3,الْمُلُوكِ,1,1,NO,NO,,aslot/axis0/0:1:3,aslot/axis0/0:1:3
0,1,4,الْقُدَمَاءِ,1,1,NO,NO,,aslot/axis0/0:1:4,aslot/axis0/0:1:4
0,1,5,أُخْتٌ,1,1,NO,NO,,aslot/axis0/0:1:5,aslot/axis0/0:1:5
0,1,6,تَعِيشُ,1,1,NO,NO,,aslot/axis0/0:1:6,aslot/axis0/0:1:6
0,1,7,مَعَهُ,1,1,NO,NO,,aslot/axis0/0:1:7,aslot/axis0/0:1:7
0,1,8,فِي,1,1,NO,NO,,aslot/axis0/0:1:8,aslot/axis0/0:1:8
0,1,9,قَصْرِهِ,1,1,NO,NO,،,aslot/axis0/0:1:9,aslot/axis0/0:1:9
0,1,10,وَ,1,1,NO,NO,,aslot/axis0/0:1:10,aslot/axis0/0:1:10
0,1,11,بَعْدَ,1,1,NO,NO,,aslot/axis0/0:1:11,aslot/axis0/0:1:11
0,1,12,أَنْ,1,1,NO,NO,,aslot/axis0/0:1:12,aslot/axis0/0:1:12
0,1,13,مَاتَتْ,1,1,NO,NO,,aslot/axis0/0:1:13,aslot/axis0/0:1:13
0,1,14,زَوْجَتُهُ,1,1,NO,NO,،,aslot/axis0/0:1:14,aslot/axis0/0:1:14
0,1,15,وَتَرَكَتْ,1,1,NO,NO,,aslot/axis0/0:1:15,aslot/axis0/0:1:15
0,1,16,لَهُ,1,1,NO,NO,,aslot/axis0/0:1:16,aslot/axis0/0:1:16
0,1,17,مِنَ,1,1,NO,NO,,aslot/axis0/0:1:17,aslot/axis0/0:1:17
0,1,18,الْأَوْلَادِ,1,1,NO,NO,,aslot/axis0/0:1:18,aslot/axis0/0:1:18
0,1,19,ثَلَاثَةً:,1,1,NO,NO,,aslot/axis0/0:1:19,aslot/axis0/0:1:19
0,1,20,أَمِيرَيْنِ,1,1,NO,NO,,aslot/axis0/0:1:20,aslot/axis0/0:1:20
0,1,21,وَأَمِيرَةً,1,1,NO,NO,.,aslot/axis0/0:1:21,aslot/axis0/0:1:21
0,1,22,وَقَدِ,1,1,NO,NO,,aslot/axis0/0:1:22,aslot/axis0/0:1:22
0,1,23,ازْدَادَ,1,1,NO,NO,,aslot/axis0/0:1:23,aslot/axis0/0:1:23
0,1,24,حُبُّ,1,1,NO,NO,,aslot/axis0/0:1:24,aslot/axis0/0:1:24
0,1,25,الْمَلِكِ,1,1,NO,NO,,aslot/axis0/0:1:25,aslot/axis0/0:1:25
0,1,26,لِأَوْلَادِهِ,1,1,NO,NO,،,aslot/axis0/0:1:26,aslot/axis0/0:1:26
0,1,27,بَعْدَ,1,1,NO,NO,,aslot/axis0/0:1:27,aslot/axis0/0:1:27
0,1,28,وَفَاةِ,1,1,NO,NO,,aslot/axis0/0:1:28,aslot/axis0/0:1:28
0,1,29,وَالِدَتِهِمُ,1,1,NO,NO,,aslot/axis0/0:1:29,aslot/axis0/0:1:29
0,1,30,الْمَلِكَةِ,1,1,NO,NO,،,aslot/axis0/0:1:30,aslot/axis0/0:1:30
0,1,31,وَأَحَبَّهُمْ,1,1,NO,NO,,aslot/axis0/0:1:31,aslot/axis0/0:1:31
0,1,32,حُبًّا,1,1,NO,NO,,aslot/axis0/0:1:32,aslot/axis0/0:1:32
0,1,33,كَثِيرًا؛,1,1,NO,NO,,aslot/axis0/0:1:33,aslot/axis0/0:1:33
0,1,34,لِيُعَوِّضَهُمْ,1,1,NO,NO,,aslot/axis0/0:1:34,aslot/axis0/0:1:34
0,1,35,مَا,1,1,NO,NO,,aslot/axis0/0:1:35,aslot/axis0/0:1:35
0,1,36,فَقَدُوهُ,1,1,NO,NO,,aslot/axis0/0:1:36,aslot/axis0/0:1:36
0,1,37,مِنْ,1,1,NO,NO,,aslot/axis0/0:1:37,aslot/axis0/0:1:37
0,1,38,عَطْفِ,1,1,NO,NO,,aslot/axis0/0:1:38,aslot/axis0/0:1:38
