Sura_No,Verse_No,Word_No,Word,Normalized_Word,Normalization_Status,Owner_Decision_Classes,Rules_Applied,Stop_Reason,Jalalah_Prefix,Jalalah_Preserved,Elision_Points,Trace_Anchor,Parent_Anchor
0,1,1,كَانَ,كَاْنَ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:1,aslot/axis0/0:1:1
0,1,2,لِأَحَدِ,لِأَحَدِ,NORMALIZED,,N10,,,,,aslot/axis1/0:1:2,aslot/axis0/0:1:2
0,1,3,الْمُلُوكِ,ءَلْمُلُوْكِ,NORMALIZED,,N7.1|N10|N12,,,,4,aslot/axis1/0:1:3,aslot/axis0/0:1:3
0,1,4,الْقُدَمَاءِ,ءَلْقُدَمَاْءِ,NORMALIZED,,N7.1|N10|N12,,,,4,aslot/axis1/0:1:4,aslot/axis0/0:1:4
0,1,5,أُخْتٌ,أُخْتُنْ,NORMALIZED_OWNER_DECISION_REQUIRED,U_TANWEEN,N10|N12,,,,,aslot/axis1/0:1:5,aslot/axis0/0:1:5
0,1,6,تَعِيشُ,تَعِيْشُ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:6,aslot/axis0/0:1:6
0,1,7,مَعَهُ,مَعَهُ,NORMALIZED,,,,,,,aslot/axis1/0:1:7,aslot/axis0/0:1:7
0,1,8,فِي,فِيْ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:8,aslot/axis0/0:1:8
0,1,9,قَصْرِهِ,قَصْرِهِ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:9,aslot/axis0/0:1:9
0,1,10,وَ,وَ,NORMALIZED,,,,,,,aslot/axis1/0:1:10,aslot/axis0/0:1:10
0,1,11,بَعْدَ,بَعْدَ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:11,aslot/axis0/0:1:11
0,1,12,أَنْ,أَنْ,NORMALIZED,,N10|N12,,,,,aslot/axis1/0:1:12,aslot/axis0/0:1:12
0,1,13,مَاتَتْ,مَاْتَتْ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:13,aslot/axis0/0:1:13
0,1,14,زَوْجَتُهُ,زَوْجَتُهُ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:14,aslot/axis0/0:1:14
0,1,15,وَتَرَكَتْ,وَتَرَكَتْ,NORMALIZED,,N12,,,,,aslot/axis1/0:1:15,aslot/axis0/0:1:15
0,1,16,لَهُ,لَهُ,NORMALIZED,,,,,,,aslot/axis1/0:1:16,aslot/axis0/0:1:16
0,1,17,مِنَ,مِنَ,NORMALIZED,,,,,,,aslot/axis1/0:1:17,aslot/axis0/0:1:17
0,1,18,الْأَوْلَادِ,ءَلْأَوْلَاْدِ,NORMALIZED,,N7.1|N10|N12,,,,4,aslot/axis1/0:1:18,aslot/axis0/0:1:18
0,1,19,ثَلَاثَةً:,,IGNORED_NON_WORD_TOKEN,,,NON_LETTER@9:':',,,,aslot/axis1/0:1:19,aslot/axis0/0:1:19
0,1,20,أَمِيرَيْنِ,أَمِيْرَيْنِ,NORMALIZED,,N10|N12,,,,,aslot/axis1/0:1:20,aslot/axis0/0:1:20
0,1,21,وَأَمِيرَةً,وَأَمِيْرَةَنْ,NORMALIZED_OWNER_DECISION_REQUIRED,U_TANWEEN,N10|N12,,,,,aslot/axis1/0:1:21,aslot/axis0/0:1:21
0,1,22,وَقَدِ,وَقَدِ,NORMALIZED,,,,,,,aslot/axis1/0:1:22,aslot/axis0/0:1:22
0,1,23,ازْدَادَ,ءَزْدَاْدَ,NORMALIZED,,N7|N7.3:INOPERATIVE|N12,,,,,aslot/axis1/0:1:23,aslot/axis0/0:1:23
0,1,24,حُبُّ,حُبْبُ,NORMALIZED,,N2,,,,,aslot/axis1/0:1:24,aslot/axis0/0:1:24
