Sura_No,Verse_No,Word_No,Word,Normalized_Word,Closed_Form_Proof,Eligibility,Operator_Role,Word_Class,Next_Route,Matched_Entry_Ids,Note,Trace_Anchor,Parent_Anchor
0,1,1,كَانَ,كَاْنَ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:1,aslot/axis1/0:1:1
0,1,2,لِأَحَدِ,لِأَحَدِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:2,aslot/axis1/0:1:2
0,1,3,الْمُلُوكِ,ءَلْمُلُوْكِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:3,aslot/axis1/0:1:3
0,1,4,الْقُدَمَاءِ,ءَلْقُدَمَاْءِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:4,aslot/axis1/0:1:4
0,1,5,أُخْتٌ,أُخْتُنْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:5,aslot/axis1/0:1:5
0,1,6,تَعِيشُ,تَعِيْشُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:6,aslot/axis1/0:1:6
0,1,7,مَعَهُ,مَعَهُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:7,aslot/axis1/0:1:7
0,1,8,فِي,فِيْ,PROVEN,ACCEPT,YES,حرف,STOP_CLOSED_FORM,DW:70,,aslot/axis2/0:1:8,aslot/axis1/0:1:8
0,1,9,قَصْرِهِ,قَصْرِهِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:9,aslot/axis1/0:1:9
0,1,10,وَ,وَ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:10,aslot/axis1/0:1:10
0,1,11,بَعْدَ,بَعْدَ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:11,aslot/axis1/0:1:11
0,1,12,أَنْ,أَنْ,PROVEN,ACCEPT,YES,حرف,STOP_CLOSED_FORM,DW:11|DW:12|DW:13|DW:14,,aslot/axis2/0:1:12,aslot/axis1/0:1:12
0,1,13,مَاتَتْ,مَاْتَتْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:13,aslot/axis1/0:1:13
0,1,14,زَوْجَتُهُ,زَوْجَتُهُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:14,aslot/axis1/0:1:14
0,1,15,وَتَرَكَتْ,وَتَرَكَتْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:15,aslot/axis1/0:1:15
0,1,16,لَهُ,لَهُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:16,aslot/axis1/0:1:16
0,1,17,مِنَ,مِنَ,UNRESOLVED,ACCEPT,NO,,DEFER_UNRESOLVED_CLOSURE,DW:110|DW:111,"شهاداتٌ متعارضة: ['حرف', 'مبنيّ']",aslot/axis2/0:1:17,aslot/axis1/0:1:17
0,1,18,الْأَوْلَادِ,ءَلْأَوْلَاْدِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:18,aslot/axis1/0:1:18
0,1,20,أَمِيرَيْنِ,أَمِيْرَيْنِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:20,aslot/axis1/0:1:20
0,1,21,وَأَمِيرَةً,وَأَمِيْرَةَنْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:21,aslot/axis1/0:1:21
0,1,22,وَقَدِ,وَقَدِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:22,aslot/axis1/0:1:22
0,1,23,ازْدَادَ,ءَزْدَاْدَ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:23,aslot/axis1/0:1:23
0,1,24,حُبُّ,حُبْبُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:24,aslot/axis1/0:1:24
0,1,25,الْمَلِكِ,ءَلْمَلِكِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:25,aslot/axis1/0:1:25
0,1,26,لِأَوْلَادِهِ,لِأَوْلَاْدِهِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:26,aslot/axis1/0:1:26
0,1,27,بَعْدَ,بَعْدَ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:27,aslot/axis1/0:1:27
0,1,28,وَفَاةِ,وَفَاْةِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:28,aslot/axis1/0:1:28
0,1,29,وَالِدَتِهِمُ,وَاْلِدَتِهِمُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:29,aslot/axis1/0:1:29
0,1,30,الْمَلِكَةِ,ءَلْمَلِكَةِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:30,aslot/axis1/0:1:30
0,1,31,وَأَحَبَّهُمْ,وَأَحَبْبَهُمْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:31,aslot/axis1/0:1:31
0,1,32,حُبًّا,حُبْبَنْاْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:32,aslot/axis1/0:1:32
0,1,34,لِيُعَوِّضَهُمْ,لِيُعَوْوِضَهُمْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:34,aslot/axis1/0:1:34
