Entry_Id,Raw_Surfaces,Normalized_Surface,Normalization_Status,Eligibility,Word_Class,Operator_Role,Mabni,Witness_Count,Tags
DW:1,الَّتِي,ءَلْلَتِيْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,57,REL_PRON
DW:2,الَّذِي,ءَلْلَذِيْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,268,REL_PRON
DW:3,الَّذِينَ,ءَلْلَذِيْنَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,810,REL_PRON
DW:4,اللَّاتِي,ءَلْلْلَاْتِيْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,8,REL_PRON
DW:5,اللَّذَيْنِ,ءَلْلْلَذَيْنِ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,1,REL_PRON
DW:6,أَمِ,أَمِ,NORMALIZED,ACCEPT,حرف,YES,NO,12,CONJ
DW:7,أَمْ,أَمْ,NORMALIZED,ACCEPT,حرف,YES,NO,110,CONJ
DW:8,أَمَّا,أَمْمَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,8,CONDITION_PART
DW:9,أَنَا,أَنَاْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,49,PRON_1S
DW:10,أَنِ,أَنِ,NORMALIZED,ACCEPT,حرف,YES,NO,20,SUBJUNC_PART
DW:11,أَنْ,أَنْ,NORMALIZED,ACCEPT,حرف,YES,NO,7,ANNUL_PART
DW:12,أَنْ,أَنْ,NORMALIZED,ACCEPT,حرف,YES,NO,3,CONDITION_PART
DW:13,أَنْ,أَنْ,NORMALIZED,ACCEPT,حرف,YES,NO,2,INF_ANNUL_PART
DW:14,أَنْ,أَنْ,NORMALIZED,ACCEPT,حرف,YES,NO,507,SUBJUNC_PART
DW:15,أَنْتَ,أَنْتَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,55,PRON_2MS
DW:16,أَنْتُمَا,أَنْتُمَاْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,1,PRON
DW:17,أَنْتُمُ,أَنْتُمُ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,2,DEM_PRON
DW:18,أَنْتُمْ,أَنْتُمْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,74,DEM_PRON
DW:19,أَنَّ,أَنْنَ,NORMALIZED,ACCEPT,حرف,YES,NO,2,ANNUL_PART
DW:20,أَنَّ,أَنْنَ,NORMALIZED,ACCEPT,حرف,YES,NO,52,INF_ANNUL_PART
DW:21,أَنَّ,أَنْنَ,NORMALIZED,ACCEPT,حرف,YES,NO,45,SUBJUNC_PART
DW:22,أَنَّا | أَنَّى,أَنْنَاْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,حرف,YES,NO,15,INTERROG_PART
DW:23,أَنَّا | أَنَّى,أَنْنَاْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,مبنيّ,NO,YES,17,PRON_1S
DW:24,أَنَّمَا,أَنْنَمَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,19,KAAFA_MAKFOUFA
DW:25,أَوِ,أَوِ,NORMALIZED,ACCEPT,حرف,YES,NO,16,CONJ
DW:26,أَوْ,أَوْ,NORMALIZED,ACCEPT,حرف,YES,NO,264,CONJ
DW:27,أَيْنَ,أَيْنَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,9,INTERROG_PRON
DW:28,أَيْنَمَا,أَيْنَمَاْ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,1,REL_ADV
DW:29,أَيَّ,أَيْيَ,NORMALIZED,ACCEPT,حرف,YES,NO,1,INTERROG_PART
DW:30,أَيَّانَ,أَيْيَاْنَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,6,INTERROG_PRON
DW:31,أَيُّ,أَيْيُ,NORMALIZED,ACCEPT,حرف,YES,NO,3,INTERROG_PART
DW:32,أُفٍّ,أُفْفِنْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,مبنيّ,NO,YES,3,NOUN_VERB_LIKE
DW:33,أُولَئِكَ,أُوْلَئِكَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,133,DEM_PRON_MP
DW:34,أُولَاءِ,أُوْلَاْءِ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,2,DEM_PRON
DW:35,إِلَى,إِلَاْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,حرف,YES,NO,405,PREP
DW:36,إِلَّاً,إِلْلَاَنْ,NORMALIZED_OWNER_DECISION_REQUIRED,OWNER_DECISION_REQUIRED,حرف,YES,NO,2,EXCEPT_PART
DW:37,إِلَّا,إِلْلَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,657,EXCEPT_PART
DW:38,إِمَّا,إِمْمَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,9,CONDITION_PART
DW:39,إِنِ,إِنِ,NORMALIZED,ACCEPT,حرف,YES,NO,13,SUBJUNC_PART
DW:40,إِنْ,إِنْ,NORMALIZED,ACCEPT,حرف,YES,NO,7,ANNUL_PART
DW:41,إِنْ,إِنْ,NORMALIZED,ACCEPT,حرف,YES,NO,10,INF_ANNUL_PART
DW:42,إِنْ,إِنْ,NORMALIZED,ACCEPT,حرف,YES,NO,326,SUBJUNC_PART
DW:43,إِنَّ,إِنْنَ,NORMALIZED,ACCEPT,حرف,YES,NO,577,ANNUL_PART
DW:44,إِنَّ,إِنْنَ,NORMALIZED,ACCEPT,حرف,YES,NO,1,INF_ANNUL_PART
DW:45,إِنَّ,إِنْنَ,NORMALIZED,ACCEPT,حرف,YES,NO,31,SUBJUNC_PART
DW:46,إِنَّمَا,إِنْنَمَاْ,NORMALIZED,ACCEPT,حرف,YES,NO,113,KAAFA_MAKFOUFA
DW:47,إِي,إِيْ,NORMALIZED,ACCEPT,حرف,YES,NO,1,YES_NO_RESP_PART
DW:48,إِيَّاكَ,إِيْيَاْكَ,NORMALIZED,ACCEPT,مبنيّ,NO,YES,1,PRON
