section,field,status,value,source,reason,reason_family
رأس الوثيقة,INPUT_TEXT,FROM_CODE,مَاتَ مَلِكٌ عَنْ أُخْتٍ سَاكِنَةٍ مَعَهُ، فَأَرَادَ وَارِثُهُ طَرْدَهَا، فَتَحَاكَمَا.,الملفّ,,
رأس الوثيقة,INPUT_SHA256,FROM_CODE,1a7f8b76d719bc019fe200ea952cce211a7a4283814d9cee0d04a39251d8b3e2,hashlib,,
رأس الوثيقة,CORPUS_ID,FROM_CODE,nazila,الوسيط,,
رأس الوثيقة,RUN_ID,FROM_CODE,native:nazila,run_native_corpus,,
رأس الوثيقة,STAGE_COVERAGE,FROM_CODE,16/16,عدُّ المراحل,,
رأس الوثيقة,RUNTIME_EXECUTION,FROM_CODE,1/16 EXECUTED,عدُّ الحالات,,
رأس الوثيقة,MEASURED_RECORDS,FROM_CODE,160 = 10 × 16,عدُّ السجلّات,,
رأس الوثيقة,FINAL_HUKM,FROM_CODE,NOT_OPENED,حالُ HUKM,,
رأس الوثيقة,FINAL_TANZIL,FROM_CODE,NOT_OPENED,حالُ TANZIL,,
رأس الوثيقة,VENDOR_HEAD,FROM_CODE,3cccdded7951ba71b3cb2a8b9b477f3fb3d91095,git rev-parse,,
رأس الوثيقة,DOCUMENT_LABEL,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
رأس الوثيقة,LAYER_RULE,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
رأس الوثيقة,NO_LAYER_MIXING,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
رأس الوثيقة,REPRODUCES,NOT_AVAILABLE,,,HUMAN_DECLARED_ONLY,HUMAN_DECLARED_ONLY
0. حدّ الدخول المعلن,declared_entry_kind,NOT_AVAILABLE,,,NOT_CONSTRUCTED_IN_SOURCE,NOT_CONSTRUCTED_IN_SOURCE
0. حدّ الدخول المعلن,representation_status,NOT_AVAILABLE,,,NOT_CONSTRUCTED_IN_SOURCE,NOT_CONSTRUCTED_IN_SOURCE
0. حدّ الدخول المعلن,ontological_status,NOT_AVAILABLE,,,NOT_CONSTRUCTED_IN_SOURCE,NOT_CONSTRUCTED_IN_SOURCE
0. حدّ الدخول المعلن,sound_status,NOT_AVAILABLE,,,NOT_CONSTRUCTED_IN_SOURCE,NOT_CONSTRUCTED_IN_SOURCE
0. حدّ الدخول المعلن,meaning_status,NOT_AVAILABLE,,,NOT_CONSTRUCTED_IN_SOURCE,NOT_CONSTRUCTED_IN_SOURCE
0. حدّ الدخول المعلن,prior_trace_status,NOT_AVAILABLE,,,NOT_CONSTRUCTED_IN_SOURCE,NOT_CONSTRUCTED_IN_SOURCE
0. حدّ الدخول المعلن,produces_only,NOT_AVAILABLE,,,NOT_CONSTRUCTED_IN_SOURCE,NOT_CONSTRUCTED_IN_SOURCE
